ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
R522,522,COMPOSITE,OCCIPITAL_R,,,,,,,
R523,523,COMPOSITE,PARIETAL_R,,,,,,,
R524,524,COMPOSITE,TEMPORAL_R,,,,,,,
R525,525,COMPOSITE,VENTRICLE_R,,,,,,,
R601,601,COMPOSITE,GM,,,,,,,
R604,604,COMPOSITE,WM,,,,,,,
R606,606,COMPOSITE,GM_L,,,,,,,
R607,607,COMPOSITE,WM_L,,,,,,,
R613,613,COMPOSITE,GM_R,,,,,,,
R614,614,COMPOSITE,WM_R,,,,,,,
R701,701,COMPOSITE,TOTALBRAIN,,,,,,,
R702,702,COMPOSITE,ICV,,,,,,,
